epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,1.4847495960510844,,,,,,,1.5817106200589075,0.7220930232558139,0.7945876559630789,0.7064753915564476,0.706722146735653,"tensor(0.3282, device='cuda:0')","tensor(0.1963, device='cuda:0')","[[111, 111,  32],
 [  1, 269,  36],
 [  0,  59, 241]]"
2,1.090216993800993,,,,,,,1.9413998193211026,0.6476744186046511,0.7575443989134313,0.6658296879556722,0.6455078239794817,"tensor(0.1715, device='cuda:0')","tensor(0.0938, device='cuda:0')","[[248,   4,   2],
 [134, 136,  36],
 [126,   1, 173]]"
3,0.8632673815013917,,,,,,,1.00217211191301,0.8209302325581396,0.8248020738518577,0.825210231074057,0.8184303078633753,"tensor(0.4203, device='cuda:0')","tensor(0.2661, device='cuda:0')","[[225,  23,   6],
 [ 45, 207,  54],
 [ 21,   5, 274]]"
4,0.7975054888463602,,,,,,,1.325078662622858,0.708139534883721,0.79226250608227,0.6915231674472063,0.6826014219991636,"tensor(0.5416, device='cuda:0')","tensor(0.3714, device='cuda:0')","[[ 97,  46, 111],
 [  4, 214,  88],
 [  0,   2, 298]]"
5,0.7406762932858816,,,,,,,0.8501745125761738,0.836046511627907,0.8676820762419207,0.828073525123085,0.8356478235931425,"tensor(0.4185, device='cuda:0')","tensor(0.2646, device='cuda:0')","[[176,  77,   1],
 [ 10, 286,  10],
 [  2,  41, 257]]"
6,0.7268545087275466,,,,,,,1.0141573774593848,0.8093023255813954,0.8418762061668214,0.8022640797351311,0.8059407413653568,"tensor(0.4971, device='cuda:0')","tensor(0.3308, device='cuda:0')","[[169,  50,  35],
 [  3, 233,  70],
 [  0,   6, 294]]"
7,0.6677972480533568,,,,,,,0.9141098939710193,0.827906976744186,0.8656353204963021,0.8306644022438373,0.829809751391941,"tensor(0.5961, device='cuda:0')","tensor(0.4246, device='cuda:0')","[[218,   9,  27],
 [ 11, 198,  97],
 [  4,   0, 296]]"
8,0.5942069851770634,,,,,,,1.5888381964630551,0.622093023255814,0.813813912661839,0.6102658981352821,0.6060064935064934,"tensor(0.5957, device='cuda:0')","tensor(0.4242, device='cuda:0')","[[ 94,   0, 160],
 [  3, 142, 161],
 [  1,   0, 299]]"
9,0.5575577214481385,,,,,,,0.6972848149361434,0.8837209302325582,0.9052458568306117,0.8763155095809103,0.8822042665017108,"tensor(0.6149, device='cuda:0')","tensor(0.4439, device='cuda:0')","[[190,  58,   6],
 [  1, 292,  13],
 [  0,  22, 278]]"
10,0.5114664196725783,,,,,,,0.5330350476282614,0.9279069767441861,0.930969274904338,0.9301446142761566,0.928097925250449,"tensor(0.6948, device='cuda:0')","tensor(0.5323, device='cuda:0')","[[244,   3,   7],
 [ 19, 258,  29],
 [  0,   4, 296]]"
11,0.4676309627124934,,,,,,,0.5308816733735578,0.9244186046511628,0.9256321293936898,0.9238737069631001,0.9246537941886824,"tensor(0.6122, device='cuda:0')","tensor(0.4411, device='cuda:0')","[[232,  19,   3],
 [  8, 282,  16],
 [  7,  12, 281]]"
12,0.45373472450225333,,,,,,,0.5981668820259748,0.8953488372093024,0.9104053054303604,0.8867306537663184,0.890471960159099,"tensor(0.7276, device='cuda:0')","tensor(0.5718, device='cuda:0')","[[186,  59,   9],
 [  2, 287,  17],
 [  0,   3, 297]]"
13,0.4068203125663889,,,,,,,0.47036079358723426,0.9558139534883721,0.9559128883399378,0.9559128883399378,0.9559128883399378,"tensor(0.6208, device='cuda:0')","tensor(0.4501, device='cuda:0')","[[243,  10,   1],
 [  6, 290,  10],
 [  5,   6, 289]]"
14,0.384615063788445,,,,,,,0.3996800327742541,0.9593023255813954,0.9603474204022205,0.9588873449642324,0.9594601531546183,"tensor(0.7418, device='cuda:0')","tensor(0.5895, device='cuda:0')","[[241,  11,   2],
 [  6, 288,  12],
 [  0,   4, 296]]"
15,0.3388341755522945,,,,,,,0.3889508346716563,0.958139534883721,0.9600218138089245,0.9573955706517077,0.9583124527204162,"tensor(0.7640, device='cuda:0')","tensor(0.6182, device='cuda:0')","[[239,  12,   3],
 [  4, 287,  15],
 [  0,   2, 298]]"
16,0.33225627116313794,,,,,,,0.408484338886208,0.9546511627906977,0.9576535457080916,0.9534585627776919,0.954907208255415,"tensor(0.7571, device='cuda:0')","tensor(0.6091, device='cuda:0')","[[236,  14,   4],
 [  2, 287,  17],
 [  0,   2, 298]]"
17,0.3367832008355517,,,,,,,0.36590120900008416,0.9662790697674418,0.9674888507984143,0.9657116634930437,0.9663497083598726,"tensor(0.7756, device='cuda:0')","tensor(0.6334, device='cuda:0')","[[242,  10,   2],
 [  4, 290,  12],
 [  0,   1, 299]]"
18,0.3155993279523966,,,,,,,0.35547214677488365,0.9674418604651163,0.9682212761632765,0.9669586399739248,0.9674997542972522,"tensor(0.7791, device='cuda:0')","tensor(0.6381, device='cuda:0')","[[243,   9,   2],
 [  4, 293,   9],
 [  1,   3, 296]]"
19,0.3043160196848032,,,,,,,0.34285979097088176,0.9697674418604652,0.9706585143017782,0.9693603005506665,0.969931185759776,"tensor(0.7807, device='cuda:0')","tensor(0.6403, device='cuda:0')","[[244,   8,   2],
 [  4, 294,   8],
 [  0,   4, 296]]"
20,0.30858142274182015,,,,,,,0.35161025835959997,0.9674418604651163,0.9688676088254738,0.9668009881117801,0.9675689671033777,"tensor(0.7865, device='cuda:0')","tensor(0.6482, device='cuda:0')","[[242,  10,   2],
 [  3, 291,  12],
 [  0,   1, 299]]"
0,0,,,,,,,0,0.9662790697674418,0.9678131836351782,0.9657116634930437,0.9664667311573206,0,0.6882532952712401,
