epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,0.8987233612110944,,,,,,,0.8470795574011626,,,,,"tensor(0.0508, device='cuda:0')","tensor(0.0261, device='cuda:0')",
2,0.7737707175859591,,,,,,,0.7821569095055262,,,,,"tensor(0.2556, device='cuda:0')","tensor(0.1465, device='cuda:0')",
3,0.6482592380143762,,,,,,,0.6343593288350988,,,,,"tensor(0.4512, device='cuda:0')","tensor(0.2913, device='cuda:0')",
4,0.5296954444753446,,,,,,,0.41686084121465683,,,,,"tensor(0.5341, device='cuda:0')","tensor(0.3644, device='cuda:0')",
5,0.4086671885920734,,,,,,,0.3617260006290895,,,,,"tensor(0.7347, device='cuda:0')","tensor(0.5807, device='cuda:0')",
6,0.34462847154799514,,,,,,,0.354565114610725,,,,,"tensor(0.7056, device='cuda:0')","tensor(0.5452, device='cuda:0')",
7,0.30956892275471026,,,,,,,0.2820580128442358,,,,,"tensor(0.7658, device='cuda:0')","tensor(0.6205, device='cuda:0')",
8,0.271980404793247,,,,,,,0.26642204807312403,,,,,"tensor(0.7840, device='cuda:0')","tensor(0.6447, device='cuda:0')",
9,0.24494546673041048,,,,,,,0.2745505497549419,,,,,"tensor(0.7762, device='cuda:0')","tensor(0.6342, device='cuda:0')",
10,0.2345492747741017,,,,,,,0.21362456486180978,,,,,"tensor(0.8277, device='cuda:0')","tensor(0.7061, device='cuda:0')",
11,0.21321243732198467,,,,,,,0.20947793250282606,,,,,"tensor(0.8261, device='cuda:0')","tensor(0.7037, device='cuda:0')",
12,0.20603976459280263,,,,,,,0.1871671562117559,,,,,"tensor(0.8489, device='cuda:0')","tensor(0.7374, device='cuda:0')",
13,0.19739235619582782,,,,,,,0.1933294885136463,,,,,"tensor(0.8437, device='cuda:0')","tensor(0.7297, device='cuda:0')",
14,0.19163364683830642,,,,,,,0.18564497134475796,,,,,"tensor(0.8516, device='cuda:0')","tensor(0.7416, device='cuda:0')",
15,0.19107548753178216,,,,,,,0.18159687705338,,,,,"tensor(0.8538, device='cuda:0')","tensor(0.7449, device='cuda:0')",
16,0.17883597026632084,,,,,,,0.17799484805652388,,,,,"tensor(0.8616, device='cuda:0')","tensor(0.7569, device='cuda:0')",
17,0.17271445028302146,,,,,,,0.17305334278002935,,,,,"tensor(0.8660, device='cuda:0')","tensor(0.7636, device='cuda:0')",
18,0.16747277457176185,,,,,,,0.1698341755265439,,,,,"tensor(0.8674, device='cuda:0')","tensor(0.7659, device='cuda:0')",
19,0.16475954633660433,,,,,,,0.16772134677955397,,,,,"tensor(0.8702, device='cuda:0')","tensor(0.7702, device='cuda:0')",
20,0.1616088359699986,,,,,,,0.1665787405023972,,,,,"tensor(0.8698, device='cuda:0')","tensor(0.7696, device='cuda:0')",
0,0,,,,,,,0,0,0,0,0,0,0.7578607333791711,
