epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,0.781001397881645,,,,,,,0.7062493445617812,0.704,0.7158046042956017,0.7409560018233015,0.7125847420009495,,,"[[212,  32,   0,  10],
 [ 67, 151,  54,  34],
 [  1,   8, 131,   0],
 [ 74,  16,   0, 210]]"
2,0.6197501646634489,,,,,,,1.0065893345172443,0.596,0.7218679208447356,0.6325954843879809,0.5951116601704542,,,"[[ 58, 189,   1,   6],
 [  2, 202,  92,  10],
 [  0,   3, 137,   0],
 [  0,  96,   5, 199]]"
3,0.5551271939906068,,,,,,,1.456258250843911,0.585,0.7689389324842049,0.6280919848254263,0.5585759391601491,,,"[[157,   0,   0,  97],
 [  6,  15,  49, 236],
 [  0,   0, 123,  17],
 [ 10,   0,   0, 290]]"
4,0.5029094253485196,,,,,,,0.5176057304654803,0.786,0.7826074991400068,0.8068969871413132,0.7828904315954192,,,"[[203,  35,   0,  16],
 [ 49, 156,  41,  60],
 [  2,   7, 130,   1],
 [  1,   2,   0, 297]]"
5,0.4477467434093975,,,,,,,1.543063244531079,0.661,0.7363536867812256,0.7205806075711124,0.5984179738040004,,,"[[249,   0,   3,   2],
 [169,  13,  94,  30],
 [  0,   1, 139,   0],
 [ 35,   0,   5, 260]]"
6,0.41742761328387945,,,,,,,0.650312953879909,0.773,0.7677337306919263,0.7995391017299307,0.7707599368896147,,,"[[212,  40,   0,   2],
 [ 62, 143,  42,  59],
 [  0,   1, 132,   7],
 [  8,   6,   0, 286]]"
7,0.40988997489023515,,,,,,,0.6550055677219043,0.745,0.7711661642216974,0.7798561209260607,0.7586989610436399,,,"[[201,  53,   0,   0],
 [ 10, 226,  57,  13],
 [  0,   1, 139,   0],
 [ 30,  91,   0, 179]]"
8,0.37211006344221653,,,,,,,0.6901645739636724,0.781,0.7906146584946958,0.8049072358602234,0.7730797994491785,,,"[[158,  82,   2,  12],
 [  2, 190,  91,  23],
 [  0,   0, 140,   0],
 [  0,   2,   5, 293]]"
9,0.33334489502369785,,,,,,,0.613162435709484,0.781,0.8045779580354049,0.7763147069851561,0.7788273452924827,,,"[[161,  71,   0,  22],
 [  3, 219,  30,  54],
 [  1,  26, 110,   3],
 [  0,   8,   1, 291]]"
10,0.325227491986066,,,,,,,0.45906972802347606,0.855,0.8464436243550877,0.87422945293603,0.8488809506253885,,,"[[211,  38,   0,   5],
 [  7, 211,  71,  17],
 [  0,   0, 140,   0],
 [  0,   7,   0, 293]]"
11,0.2880976880653598,,,,,,,0.43409032540188897,0.844,0.8679780149607735,0.8571913069689818,0.8510257078060731,,,"[[171,  81,   0,   2],
 [  3, 265,  29,   9],
 [  0,   1, 139,   0],
 [  0,  31,   0, 269]]"
12,0.27622956565965096,,,,,,,0.4641415284030021,0.842,0.8359834368530021,0.8647341876383099,0.8353343014479153,,,"[[219,  27,   2,   6],
 [  6, 203,  83,  14],
 [  0,   0, 140,   0],
 [  0,  15,   5, 280]]"
13,0.24642687281385398,,,,,,,0.2931431686830899,0.902,0.8967315739821509,0.9126956556900976,0.9012543696625447,,,"[[217,  32,   0,   5],
 [  6, 251,  31,  18],
 [  0,   1, 139,   0],
 [  0,   5,   0, 295]]"
14,0.21022696169420554,,,,,,,0.2602028815992295,0.916,0.913723987222952,0.9251513046163347,0.9167790951690826,,,"[[217,  32,   0,   5],
 [  4, 261,  22,  19],
 [  0,   0, 140,   0],
 [  1,   1,   0, 298]]"
15,0.19594629268391064,,,,,,,0.2695737513048308,0.898,0.8919049915265973,0.9095437702640111,0.8956446082854609,,,"[[212,  36,   0,   6],
 [  3, 252,  39,  12],
 [  0,   0, 140,   0],
 [  0,   6,   0, 294]]"
16,0.20165846951472494,,,,,,,0.23853793692967248,0.917,0.9119323884686288,0.9271919870310328,0.9175753061129104,,,"[[225,  26,   0,   3],
 [  6, 261,  24,  15],
 [  0,   0, 140,   0],
 [  3,   6,   0, 291]]"
17,0.19236493401062754,,,,,,,0.23673409117119654,0.919,0.9114142565505614,0.9295276877155061,0.9178027086289272,,,"[[229,  22,   0,   3],
 [  7, 257,  28,  14],
 [  0,   0, 140,   0],
 [  0,   6,   1, 293]]"
18,0.181454599736788,,,,,,,0.2357423109194589,0.916,0.9084695632126165,0.9266239514178375,0.9144761068842371,,,"[[226,  25,   0,   3],
 [  6, 254,  30,  16],
 [  0,   0, 140,   0],
 [  1,   3,   0, 296]]"
19,0.17553678671487224,,,,,,,0.2371315432209817,0.916,0.9085680558993597,0.9262077350625288,0.9143139733061711,,,"[[224,  27,   0,   3],
 [  5, 261,  31,   9],
 [  0,   0, 140,   0],
 [  0,   8,   1, 291]]"
20,0.1712662898503934,,,,,,,0.23419687423914198,0.919,0.9117078079737173,0.9297439658278009,0.917864037103137,,,"[[230,  21,   0,   3],
 [  8, 253,  27,  18],
 [  0,   0, 140,   0],
 [  0,   3,   1, 296]]"
0,0,,,,,,,0,0.919,0.9117078079737173,0.9297439658278009,0.917864037103137,0,0,
