epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,1.5342503684323008,,,,,,,2.0140919188658395,0.608139534883721,0.7242841271823622,0.6277659410220782,0.5736632983065669,"tensor(0.1372, device='cuda:0')","tensor(0.0736, device='cuda:0')","[[239,   2,  13],
 [173,  66,  67],
 [ 81,   1, 218]]"
2,1.1352286661058906,,,,,,,1.2247278568921265,0.8034883720930233,0.8142829734670035,0.8077053848661074,0.8039581017690279,"tensor(0.2369, device='cuda:0')","tensor(0.1344, device='cuda:0')","[[223,  27,   4],
 [ 58, 227,  21],
 [ 50,   9, 241]]"
3,0.9115365800576481,,,,,,,1.1386515034569635,0.7593023255813953,0.8122473096982902,0.761020191103563,0.7559524685211619,"tensor(0.5739, device='cuda:0')","tensor(0.4025, device='cuda:0')","[[194,  10,  50],
 [ 28, 164, 114],
 [  3,   2, 295]]"
4,0.7846265396451563,,,,,,,1.135100116884267,0.7930232558139535,0.842128784745034,0.7780815878407356,0.7797269070270111,"tensor(0.5360, device='cuda:0')","tensor(0.3661, device='cuda:0')","[[131, 107,  16],
 [  2, 278,  26],
 [  0,  27, 273]]"
5,0.7238165960321582,,,,,,,1.3504304347766771,0.7093023255813954,0.806288083814423,0.688509941159316,0.6796542293253215,"tensor(0.6403, device='cuda:0')","tensor(0.4709, device='cuda:0')","[[ 83, 162,   9],
 [  1, 274,  31],
 [  0,  47, 253]]"
6,0.658278825927556,,,,,,,0.7467608669841731,0.8848837209302326,0.9006274918160164,0.8811857341361741,0.8846541346541347,"tensor(0.6879, device='cuda:0')","tensor(0.5243, device='cuda:0')","[[205,  26,  23],
 [  3, 258,  45],
 [  0,   2, 298]]"
7,0.596857078797449,,,,,,,0.7650303884788796,0.8395348837209302,0.8824714401302499,0.8289973067092102,0.8369981408201648,"tensor(0.6827, device='cuda:0')","tensor(0.5182, device='cuda:0')","[[165,  88,   1],
 [  4, 295,   7],
 [  0,  38, 262]]"
8,0.5549517164870006,,,,,,,0.6889773982542532,0.8802325581395349,0.8917872046470227,0.8784113015284855,0.8798243650929959,"tensor(0.7379, device='cuda:0')","tensor(0.5846, device='cuda:0')","[[212,  24,  18],
 [ 11, 246,  49],
 [  0,   1, 299]]"
9,0.4925677988950799,,,,,,,0.48985809073955927,0.9267441860465117,0.9321465678097877,0.9233275007290755,0.9261386457545576,"tensor(0.7376, device='cuda:0')","tensor(0.5843, device='cuda:0')","[[219,  29,   6],
 [  2, 289,  15],
 [  3,   8, 289]]"
10,0.45156128765121706,,,,,,,0.6760507319812421,0.8546511627906976,0.8870757693579671,0.8470867857204124,0.852194772778271,"tensor(0.7403, device='cuda:0')","tensor(0.5876, device='cuda:0')","[[179,  21,  54],
 [  1, 257,  48],
 [  0,   1, 299]]"
11,0.46101890334753487,,,,,,,0.6890032171375222,0.8790697674418605,0.894056446973679,0.873976806820716,0.8772274085543579,"tensor(0.7282, device='cuda:0')","tensor(0.5726, device='cuda:0')","[[197,  35,  22],
 [  4, 260,  42],
 [  0,   1, 299]]"
12,0.4830232632717466,,,,,,,0.5035432088706229,0.9279069767441861,0.9281758181941893,0.9310738853721716,0.9280870814776646,"tensor(0.7336, device='cuda:0')","tensor(0.5792, device='cuda:0')","[[251,   2,   1],
 [ 18, 280,   8],
 [ 15,  18, 267]]"
13,0.4386079923166492,,,,,,,0.5328630054438556,0.9244186046511628,0.9245770623357851,0.9268112809428234,0.9232398945449569,"tensor(0.6256, device='cuda:0')","tensor(0.4552, device='cuda:0')","[[244,   8,   2],
 [ 35, 258,  13],
 [  6,   1, 293]]"
14,0.3795320782659015,,,,,,,0.36785893031844386,0.9534883720930233,0.9534614489995868,0.9540443964112328,0.9536355007167434,"tensor(0.8005, device='cuda:0')","tensor(0.6674, device='cuda:0')","[[244,   9,   1],
 [ 10, 283,  13],
 [  2,   5, 293]]"
15,0.34793520173648507,,,,,,,0.4069469783593107,0.9453488372093023,0.9506020379513568,0.9422959875113649,0.9450056419953459,"tensor(0.7834, device='cuda:0')","tensor(0.6440, device='cuda:0')","[[226,  25,   3],
 [  1, 299,   6],
 [  2,  10, 288]]"
16,0.3213542304569628,,,,,,,0.3534628526756057,0.958139534883721,0.9596634924059105,0.9573519976669583,0.9582261629281908,"tensor(0.8143, device='cuda:0')","tensor(0.6868, device='cuda:0')","[[239,  11,   4],
 [  4, 289,  13],
 [  1,   3, 296]]"
17,0.3045944040262602,,,,,,,0.3434422550102075,0.9651162790697675,0.9666285423814971,0.9640455972415213,0.9651395860516508,"tensor(0.8273, device='cuda:0')","tensor(0.7054, device='cuda:0')","[[240,  12,   2],
 [  3, 297,   6],
 [  1,   6, 293]]"
18,0.2822693823798885,,,,,,,0.30616366904642844,0.9720930232558139,0.971788919946393,0.9724527816375894,0.9720059805729383,"tensor(0.8185, device='cuda:0')","tensor(0.6927, device='cuda:0')","[[248,   5,   1],
 [  7, 291,   8],
 [  2,   1, 297]]"
19,0.27610049657220764,,,,,,,0.3068853198654122,0.9720930232558139,0.9731523168935919,0.9711365000943509,0.971981762959249,"tensor(0.8314, device='cuda:0')","tensor(0.7115, device='cuda:0')","[[242,   9,   3],
 [  3, 296,   7],
 [  0,   2, 298]]"
20,0.2744444596573589,,,,,,,0.3009487227709205,0.9709302325581395,0.9723759846710666,0.9700253889832399,0.9710102051729406,"tensor(0.8341, device='cuda:0')","tensor(0.7154, device='cuda:0')","[[242,   9,   3],
 [  2, 296,   8],
 [  0,   3, 297]]"
0,0,,,,,,,0,0.9755813953488373,0.976670614045076,0.9748504966290978,0.9756416866442345,0,0.7210931218844969,
