epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,0.8746568541216656,,,,,,,0.7766073677274916,,,,,"tensor(0.0945, device='cuda:0')","tensor(0.0496, device='cuda:0')",
2,0.7011141634084345,,,,,,,0.7274320964460019,,,,,"tensor(0.2192, device='cuda:0')","tensor(0.1231, device='cuda:0')",
3,0.5173497049789119,,,,,,,0.47317281310205106,,,,,"tensor(0.6526, device='cuda:0')","tensor(0.4843, device='cuda:0')",
4,0.36744338461780934,,,,,,,0.43289675535979094,,,,,"tensor(0.6276, device='cuda:0')","tensor(0.4573, device='cuda:0')",
5,0.3298047678923704,,,,,,,0.3054184866724191,,,,,"tensor(0.7466, device='cuda:0')","tensor(0.5957, device='cuda:0')",
6,0.28760089670739525,,,,,,,0.253519704496419,,,,,"tensor(0.7892, device='cuda:0')","tensor(0.6518, device='cuda:0')",
7,0.258472959261115,,,,,,,0.2315693686681765,,,,,"tensor(0.8005, device='cuda:0')","tensor(0.6674, device='cuda:0')",
8,0.23869193027295718,,,,,,,0.23831408050049235,,,,,"tensor(0.7866, device='cuda:0')","tensor(0.6482, device='cuda:0')",
9,0.22721501800224064,,,,,,,0.23018909521676875,,,,,"tensor(0.8030, device='cuda:0')","tensor(0.6708, device='cuda:0')",
10,0.21213982941779663,,,,,,,0.20568203588050823,,,,,"tensor(0.8329, device='cuda:0')","tensor(0.7137, device='cuda:0')",
11,0.20881014877581985,,,,,,,0.20705541299173125,,,,,"tensor(0.8328, device='cuda:0')","tensor(0.7136, device='cuda:0')",
12,0.1972676664439401,,,,,,,0.18614319636038057,,,,,"tensor(0.8466, device='cuda:0')","tensor(0.7340, device='cuda:0')",
13,0.18248276818331663,,,,,,,0.1754942256267424,,,,,"tensor(0.8593, device='cuda:0')","tensor(0.7533, device='cuda:0')",
14,0.176124979083131,,,,,,,0.17076726037043113,,,,,"tensor(0.8528, device='cuda:0')","tensor(0.7435, device='cuda:0')",
15,0.17169923226280911,,,,,,,0.17196714712513816,,,,,"tensor(0.8636, device='cuda:0')","tensor(0.7600, device='cuda:0')",
16,0.16803099057538723,,,,,,,0.16696658475255524,,,,,"tensor(0.8659, device='cuda:0')","tensor(0.7636, device='cuda:0')",
17,0.16428670332562634,,,,,,,0.16814581580736018,,,,,"tensor(0.8651, device='cuda:0')","tensor(0.7623, device='cuda:0')",
18,0.16317547627580845,,,,,,,0.16411521451340783,,,,,"tensor(0.8669, device='cuda:0')","tensor(0.7650, device='cuda:0')",
19,0.1621858586322486,,,,,,,0.1631795515616735,,,,,"tensor(0.8693, device='cuda:0')","tensor(0.7689, device='cuda:0')",
20,0.1631990445217466,,,,,,,0.1635765817568258,,,,,"tensor(0.8685, device='cuda:0')","tensor(0.7676, device='cuda:0')",
0,0,,,,,,,0,0,0,0,0,0,0.7646615924713593,
