epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou,confusion_matrix
1,0.8714412431406781,,,,,,,0.7440732618172964,,,,,"tensor(0.3290, device='cuda:0')","tensor(0.1969, device='cuda:0')",
2,0.6904264411063699,,,,,,,0.5987905755087182,,,,,"tensor(0.4837, device='cuda:0')","tensor(0.3190, device='cuda:0')",
3,0.4713269210443264,,,,,,,0.4219382479786873,,,,,"tensor(0.6825, device='cuda:0')","tensor(0.5180, device='cuda:0')",
4,0.35975689816523376,,,,,,,0.3174733058721931,,,,,"tensor(0.7493, device='cuda:0')","tensor(0.5992, device='cuda:0')",
5,0.3075061756663206,,,,,,,0.32798899323851977,,,,,"tensor(0.7261, device='cuda:0')","tensor(0.5699, device='cuda:0')",
6,0.27144715392856095,,,,,,,0.2702801395897512,,,,,"tensor(0.7755, device='cuda:0')","tensor(0.6333, device='cuda:0')",
7,0.2541745646091981,,,,,,,0.23996168168054688,,,,,"tensor(0.8006, device='cuda:0')","tensor(0.6675, device='cuda:0')",
8,0.23485741846081687,,,,,,,0.22053970637972709,,,,,"tensor(0.8099, device='cuda:0')","tensor(0.6806, device='cuda:0')",
9,0.2112925390039033,,,,,,,0.21522825859763003,,,,,"tensor(0.8286, device='cuda:0')","tensor(0.7073, device='cuda:0')",
10,0.227503215394369,,,,,,,0.24707215762248746,,,,,"tensor(0.8036, device='cuda:0')","tensor(0.6717, device='cuda:0')",
11,0.22330079854625026,,,,,,,0.2186699976661691,,,,,"tensor(0.8144, device='cuda:0')","tensor(0.6869, device='cuda:0')",
12,0.20558544860138156,,,,,,,0.20504939473337597,,,,,"tensor(0.8330, device='cuda:0')","tensor(0.7138, device='cuda:0')",
13,0.2078639874916251,,,,,,,0.20284973147014776,,,,,"tensor(0.8222, device='cuda:0')","tensor(0.6981, device='cuda:0')",
14,0.19115730920215931,,,,,,,0.1760972243630224,,,,,"tensor(0.8466, device='cuda:0')","tensor(0.7340, device='cuda:0')",
15,0.18181043106123684,,,,,,,0.1716416865863182,,,,,"tensor(0.8644, device='cuda:0')","tensor(0.7611, device='cuda:0')",
16,0.16831926195844402,,,,,,,0.1692944095228557,,,,,"tensor(0.8654, device='cuda:0')","tensor(0.7628, device='cuda:0')",
17,0.16005008837314155,,,,,,,0.159602302092093,,,,,"tensor(0.8694, device='cuda:0')","tensor(0.7690, device='cuda:0')",
18,0.15829482035544828,,,,,,,0.15708372597065237,,,,,"tensor(0.8732, device='cuda:0')","tensor(0.7749, device='cuda:0')",
19,0.15410580307366403,,,,,,,0.15639954867462316,,,,,"tensor(0.8758, device='cuda:0')","tensor(0.7790, device='cuda:0')",
20,0.15375577812878097,,,,,,,0.15641866617456632,,,,,"tensor(0.8762, device='cuda:0')","tensor(0.7797, device='cuda:0')",
0,0,,,,,,,0,0,0,0,0,0,0.77352229096158,
